ndianRed,CD 5C 5C,205 92 92,red
LightCoral,F0 80 80,240128128,
Salmon,FA 80 72,250128114,
DarkSalmon,E9 96 7A,233150122,
LightSalmon,FF A0 7A,255160122,
Crimson,DC 14 3C,220 20 60,
Red,FF 00 00,255 0 0,
FireBrick,B2 22 22,178 34 34,
DarkRed,8B 00 00,139 0 0,
Pink,FF C0 CB,255192203,pink
LightPink,FF B6 C1,255182193,
HotPink,FF 69 B4,255105180,
DeepPink,FF 14 93,255 20 147,
MediumVioletRed,C7 15 85,199 21 133,
PaleVioletRed,DB 70 93,219112147,
Coral,FF 7F 50,255 127 80,orange
Tomato,FF 63 47,255 99 71,
OrangeRed,FF 45 00,255 69 0,
DarkOrange,FF 8C 00,255 140 0,
Orange,FF A5 00,255 165 0,
Gold,FF D7 00,255 215 0,yellow
Yellow,FF FF 00,255 255 0,
LightYellow,FF FF E0,255255224,
LemonChiffon,FF FA CD,255250205,
LightGoldenrodYellow,FA FA D2,250250210,
PapayaWhip,FF EF D5,255239213,
Moccasin,FF E4 B5,255228181,
PeachPuff,FF DA B9,255218185,
PaleGoldenrod,EE E8 AA,238232170,
Khaki,F0 E6 8C,240230140,
DarkKhaki,BD B7 6B,189183107,
Lavender,E6 E6 FA,230230250,purple
Thistle,D8 BF D8,216191216,
Plum,DD A0 DD,221160221,
Violet,EE 82 EE,238130238,
Orchid,DA 70 D6,218112214,
Fuchsia(Magenta),FF 00 FF,255 0 255,
MediumOrchid,BA 55 D3,186 85 211,
MediumPurple,93 70 DB,147112219,
BlueViolet,8A 2B E2,138 43 226,
DarkViolet,94 00 D3,148 0 211,
DarkOrchid,99 32 CC,153 50 204,
DarkMagenta,8B 00 8B,139 0 139,
Purple,80 00 80,128 0 128,
Indigo,4B 00 82,75 0 130,
SlateBlue,6A 5A CD,106 90 205,
DarkSlateBlue,48 3D 8B,72 61 139,
GreenYellow,AD FF 2F,173 255 47,green
Chartreuse,7F FF 00,127 255 0,
LawnGreen,7C FC 00,124 252 0,
Lime,00 FF 00,0 255 0,
LimeGreen,32 CD 32,50 205 50,
PaleGreen,98 FB 98,152251152,
LightGreen,90 EE 90,144238144,
MediumSpringGreen,00 FA 9A,250154,
SpringGreen,00 FF 7F,255127,
MediumSeaGreen,3C B3 71,60179113,
SeaGreen,2E 8B 57,46 139 87,
ForestGreen,22 8B 22,34 139 34,
Green,00 80 00,0 128 0,
DarkGreen,00 64 00,0 100 0,
YellowGreen,9A CD 32,154 205 50,
OliveDrab,6B 8E 23,107 142 35,
Olive,80 80 00,128 128 0,
DarkOliveGreen,55 6B 2F,85 107 47,
MediumAquamarine,66 CD AA,102205170,
DarkSeaGreen,8F BC 8F,143188143,
LightSeaGreen,20 B2 AA,32178170,
DarkCyan,00 8B 8B,139139,
Teal,00 80 80,128128,
Aqua(Cyan),00 FF FF,255255,blue
LightCyan,E0 FF FF,224255255,
PaleTurquoise,AF EE EE,175238238,
Aquamarine,7F FF D4,127255212,
Turquoise,40 E0 D0,64224208,
MediumTurquoise,48 D1 CC,72209204,
DarkTurquoise,00 CE D1,206209,
CadetBlue,5F 9E A0,95158160,
SteelBlue,46 82 B4,70130180,
LightSteelBlue,B0 C4 DE,176196222,
PowderBlue,B0 E0 E6,176224230,
LightBlue,AD D8 E6,173216230,
SkyBlue,87 CE EB,135206235,
LightSkyBlue,87 CE FA,135206250,
DeepSkyBlue,00 BF FF,191255,
DodgerBlue,1E 90 FF,30144255,
CornflowerBlue,64 95 ED,100149237,
MediumSlateBlue,7B 68 EE,123104238,
RoyalBlue,41 69 E1,65105225,
Blue,00 00 FF,0 0 255,
MediumBlue,00 00 CD,0 0 205,
DarkBlue,00 00 8B,0 0 139,
Navy,00 00 80,0 0 128,
MidnightBlue,19 19 70,25 25 112,
Cornsilk,FF F8 DC,255248220,brown
BlanchedAlmond,FF EB CD,255235205,
Bisque,FF E4 C4,255228196,
NavajoWhite,FF DE AD,255222173,
Wheat,F5 DE B3,245222179,
BurlyWood,DE B8 87,222184135,
Tan,D2 B4 8C,210180140,
RosyBrown,BC 8F 8F,188143143,
SandyBrown,F4 A4 60,244 164 96,
Goldenrod,DA A5 20,218 165 32,
DarkGoldenrod,B8 86 0B,184 134 11,
Peru,CD 85 3F,205 133 63,
Chocolate,D2 69 1E,210 105 30,
SaddleBrown,8B 45 13,139 69 19,
Sienna,A0 52 2D,160 82 45,
Brown,A5 2A 2A,165 42 42,
Maroon,80 00 00,128 0 0,
White,FF FF FF,255255255,white
Snow,FF FA FA,255250250,
Honeydew,F0 FF F0,240255240,
MintCream,F5 FF FA,245255250,
Azure,F0 FF FF,240255255,
AliceBlue,F0 F8 FF,240248255,
GhostWhite,F8 F8 FF,248248255,
WhiteSmoke,F5 F5 F5,245245245,
Seashell,FF F5 EE,255245238,
Beige,F5 F5 DC,245245220,
OldLace,FD F5 E6,253245230,
FloralWhite,FF FA F0,255250240,
Ivory,FF FF F0,255255240,
AntiqueWhite,FA EB D7,250235215,
Linen,FA F0 E6,250240230,
LavenderBlush,FF F0 F5,255240245,
MistyRose,FF E4 E1,255228225,
Gainsboro,DC DC DC,220220220,gray
LightGray,D3 D3 D3,211211211,
Silver,C0 C0 C0,192192192,
DarkGray,A9 A9 A9,169169169,
Gray,80 80 80,128128128,
DimGray,69 69 69,105105105,
LightSlateGray,77 88 99,119136153,
SlateGray,70 80 90,112128144,
DarkSlateGray,2F 4F 4F,47 79 79,
Black,00 00 00,0 0 0,
